locality,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Hasselt,APARTMENT,APARTMENT,390000,residential_sale,2,,None,No,No,Yes,29,No,,103,,,No,None
Liège,APARTMENT,APARTMENT,125000,residential_sale,1,,None,No,No,Yes,2,No,,60,,,No,None
Gent,APARTMENT,APARTMENT,375000,residential_sale,3,,None,No,No,Yes,12,No,,138,,,No,None
Waterloo,HOUSE,HOUSE,425000,residential_sale,3,25,No,No,No,Yes,11,No,,110,147,3,No,GOOD
Buggenhout,HOUSE,HOUSE,435000,residential_sale,6,,None,No,No,Yes,,No,,260,,,No,None
Verviers,HOUSE,HOUSE,260000,residential_sale,4,,None,No,No,Yes,20,Yes,170,141,,,No,None
Gent,APARTMENT,APARTMENT,174000,residential_sale,2,,None,No,No,Yes,20,No,,60,,,No,None
La Louviere,APARTMENT,APARTMENT,299999,residential_sale,2,,None,No,No,Yes,7,No,,89,,,No,None
Wenduine (De Haan),APARTMENT,APARTMENT,129000,residential_sale,0,,None,No,No,No,,No,,34,,,No,None
Vilvoorde Peutie,HOUSE,HOUSE,339000,residential_sale,2,28,Yes,No,No,Yes,10,No,,120,80,2,No,AS_NEW
Courcelles,HOUSE,HOUSE,399900,residential_sale,6,35,No,No,No,Yes,25,Yes,500,230,909,3,No,GOOD
Grivegnée,APARTMENT,APARTMENT,150000,residential_sale,1,,None,No,No,Yes,6,No,,75,,,No,None
Boussu Hornu,HOUSE,HOUSE,95000,residential_sale,3,,None,No,No,No,,No,,,,,No,None
Berchem,APARTMENT,APARTMENT,337000,residential_sale,2,,None,No,Yes,Yes,13,Yes,17,74,,,No,None
Liege,APARTMENT,APARTMENT,275000,residential_sale,3,38,No,No,No,Yes,6,No,,,,3,No,AS_NEW
Waterloo,HOUSE,HOUSE,1490000,residential_sale,3,,None,No,No,Yes,,No,,496,,,Yes,None
Wenduine,APARTMENT,APARTMENT,235000,residential_sale,2,,None,No,No,No,,No,,65,,,No,None
Charleroi,APARTMENT,APARTMENT,164999,residential_sale,3,,None,Yes,No,No,,No,,118,,,No,None
Hamme,HOUSE,HOUSE,449000,residential_sale,4,39,No,No,No,Yes,50,Yes,576,242,673,4,No,TO_RENOVATE
Asse,HOUSE,HOUSE,295000,residential_sale,3,25,Yes,No,No,No,,No,,137,350,2,No,
Knokke-Heist,APARTMENT,APARTMENT,695000,residential_sale,2,,None,Yes,No,Yes,4,No,,60,,,No,None
Ixelles,HOUSE,HOUSE,6500000,residential_sale,10,,None,No,No,Yes,,Yes,880,1687,,,No,None
Zellik,APARTMENT,APARTMENT,215000,residential_sale,2,,None,No,No,Yes,,No,,72,,,No,None
Uccle,APARTMENT,APARTMENT,1950000,residential_sale,3,,None,No,No,Yes,140,No,,227,,,No,None
